protocol,tcp_bytes,Quic-bytes,real_time,
6,0,,16.10915,
6,0,,16.112255,
6,0,,16.114382,
6,0,,16.117308,
6,0,,16.117587,
6,0,,16.117595,
6,0,,16.117598,
6,0,,16.118663,
6,0,,16.11974,
6,0,,16.123042,
6,0,,16.123048,
6,0,,16.125128,
6,1430,,16.177315,
6,0,,16.214025,
6,0,,16.214035,
6,0,,16.214038,
6,0,,16.214047,
6,73,,16.224469,
6,0,,16.238601,
6,0,,16.255093,
6,0,,16.262751,
6,0,,16.262758,
6,0,,16.26446,
6,0,,16.292579,
6,0,,16.292593,
6,0,,16.292627,
6,0,,16.29263,
6,0,,16.292633,
17,,1358,16.318104,
6,39,,16.318119,
6,0,,16.318125,
6,0,,16.318129,
6,39,,16.318133,
6,0,,16.319728,
17,,1358,16.322643,
17,,1358,16.322653,
17,,1358,16.322854,
17,,1317,16.322968,
6,0,,16.343846,
6,0,,16.344202,
6,73,,16.358875,
6,0,,16.391641,
6,0,,16.425658,
6,0,,16.558367,
6,0,,16.621755,
17,,1358,16.623638,
6,0,,16.649686,
6,0,,16.649695,
6,0,,16.649698,
6,0,,16.6497,
6,0,,16.64971,
6,0,,16.651024,
17,,1358,16.660838,
6,0,,16.660847,
17,,1358,16.663354,
6,0,,16.663399,
6,0,,16.71446,
,0,,16.714465,
,0,,16.715045,
6,0,,16.957253,
6,1430,,17.021967,
6,0,,17.12095,
6,73,,17.197477,
6,73,,17.207059,
6,1430,,17.212268,
6,0,,17.222645,
6,0,,17.222657,
6,0,,17.22266,
6,0,,17.222663,
6,0,,17.222665,
6,0,,17.22267,
6,0,,17.222673,
17,,1358,17.238558,
6,0,,17.238568,
6,0,,17.238571,
17,,1358,17.241055,
6,0,,17.247652,
6,1430,,17.248558,
6,0,,17.254299,
6,0,,17.256815,
6,0,,17.261051,
6,0,,17.261058,
6,0,,17.261063,
6,0,,17.261071,
6,0,,17.261075,
6,0,,17.261079,
6,0,,17.261082,
6,1430,,17.26464,
6,1430,,17.264749,
6,0,,17.268885,
6,1430,,17.273526,
6,0,,17.279691,
6,53,,17.284394,
6,0,,17.316631,
6,0,,17.316642,
6,74,,17.316653,
6,74,,17.316656,
6,0,,17.316664,
6,92,,17.316667,
6,0,,17.316672,
6,0,,17.317788,
6,0,,17.318296,
6,0,,17.318301,
6,517,,17.318304,
6,0,,17.357769,
6,0,,17.35779,
6,31,,17.35813,
6,0,,17.35867,
6,918,,17.359139,
6,0,,17.359147,
6,1430,,17.362277,
6,50,,17.362286,
6,0,,17.364162,
6,0,,17.370864,
6,1430,,17.424151,
6,73,,17.441827,
6,73,,17.542281,
6,0,,17.61885,
6,0,,17.626715,
6,0,,17.626724,
6,0,,17.626728,
6,517,,17.626731,
6,517,,17.626735,
6,0,,17.626745,
6,0,,17.627738,
6,0,,17.627945,
6,1460,,17.629194,
17,,1358,17.631119,
6,0,,17.66766,
6,1430,,17.671275,
6,50,,17.671283,
6,1430,,17.72788,
6,0,,17.792408,
17,,49,17.854819,
6,0,,17.88011,
6,107,,18.006784,
6,0,,18.016908,
6,0,,18.016916,
6,0,,18.01692,
17,,49,18.016924,
17,,91,18.016931,
17,,76,18.016934,
17,,392,18.016938,
17,,35,18.018073,
17,,1358,18.019612,
17,,96,18.01962,
6,0,,18.019783,
17,,166,18.01979,
6,517,,18.019793,
6,0,,18.020756,
17,,34,18.021782,
6,1460,,18.022102,
17,,363,18.061032,
17,,1354,18.061194,
17,,1358,18.06131,
17,,1358,18.061424,
17,,1358,18.06154,
17,,1358,18.061549,
17,,1358,18.061752,
17,,1358,18.061799,
17,,1358,18.099719,
6,0,,18.126,
17,,478,18.126011,
17,,36,18.128052,
6,0,,18.136175,
17,,1358,18.137447,
6,56,,18.13817,
17,,1358,18.176052,
17,,1358,18.214256,
17,,1358,18.251861,
17,,1358,18.289479,
17,,1358,18.327925,
17,,1358,18.365565,
17,,1358,18.403168,
17,,1358,18.440679,
6,73,,18.471029,
6,1430,,18.47424,
17,,1358,18.478156,
6,0,,18.48036,
6,0,,18.499766,
17,,1358,18.516711,
6,0,,18.544454,
17,,1358,18.554152,
17,,1358,18.592394,
17,,1358,18.629866,
6,1460,,18.645339,
17,,1358,18.667477,
6,0,,18.672225,
17,,1358,18.705261,
17,,1358,18.743526,
6,1430,,18.774825,
17,,1358,18.782057,
