real_time (s),video_playback_time (s),video_quality,bitrate (kbps),stall_in_this_segment (s),bandwidth
4437.459,1845.2,144p,278,19.957000000000335,64
4440.0,1845.2,144p,278,2.5410000000001673,64
4453.662,1845.2,144p,278,13.662000000000262,64
4460.001,1845.2,144p,278,6.338999999999942,64
4510.001,1876.985,144p,278,18.215000000000146,64
4520.421,1887.405,240p,395,0.0,64
4537.162,1904.145,144p,278,0.0009999999997489795,64
4570.001,1936.987,144p,278,0,128
4597.256,1964.242,240p,395,0.0,128
4610.001,1976.989,240p,395,0,128
4640.001,2006.99,240p,395,0,128
4670.001,2036.991,240p,395,0,128
4700.001,2066.992,240p,395,0,128
4710.298,2077.29,144p,394,0,128
4717.002,2083.995,144p,394,0,128
4721.673,2088.665,144p,394,0.0009999999992942321,128
4730.0,2088.665,144p,394,8.327000000000226,128
4733.452,2088.752,144p,394,3.3650000000002365,128
4734.202,2089.432,144p,394,0.07000000000016371,128
4740.001,2095.231,144p,394,0,128
4743.657,2098.886,144p,394,0.0010000000002037268,128
4750.001,2098.886,144p,394,6.344000000000051,128
4800.001,2136.151,144p,394,12.735000000000127,192
4830.001,2166.152,144p,394,0,192
4860.001,2196.153,144p,394,0,192
4883.512,2219.666,240p,395,0,192
4920.001,2256.156,240p,395,0,192
4950.001,2286.157,240p,395,0,192
4980.001,2316.158,240p,395,0,192
5010.001,2346.16,240p,395,0,192
5040.001,2376.161,240p,395,0,256
5050.407,2386.567,144p,394,0.0,256
5090.001,2426.163,144p,394,0,256
5130.001,2466.165,144p,394,0,256
5160.001,2496.166,144p,394,0,256
5183.204,2519.369,240p,395,0,256
5220.001,2556.168,240p,395,0,256
5288.473,2624.64,240p,395,0,256
